id,behavior
1,MB_CAVE
4,MB_ROCK_STAIRS
5,MB_LADDER
6,MB_CRACKED_FLOOR
7,MB_SOUTH_ARROW_WARP
20,MB_NON_ANIMATED_DOOR
22,MB_LADDER
23,MB_LADDER
40,MB_JUMP_WEST
41,MB_JUMP_EAST
46,MB_LADDER
47,MB_LADDER
60,MB_JUMP_SOUTH
61,MB_JUMP_SOUTH
62,MB_JUMP_SOUTH
63,MB_JUMP_SOUTH
65,MB_JUMP_SOUTH
66,MB_JUMP_SOUTH
75,MB_INTERIOR_DEEP_WATER
76,MB_EAST_ARROW_WARP
77,MB_SIGNPOST
80,MB_CAVE
81,MB_CAVE
82,MB_CAVE
83,MB_CAVE
84,MB_CAVE
85,MB_CAVE
86,MB_CAVE
88,MB_CAVE
89,MB_CAVE
90,MB_CAVE
91,MB_CAVE
92,MB_CAVE
93,MB_CAVE
94,MB_CAVE
96,MB_CAVE
97,MB_CAVE
98,MB_CAVE
115,MB_CAVE
116,MB_CAVE
117,MB_CAVE
118,MB_CAVE
119,MB_CAVE
120,MB_CAVE
121,MB_CAVE
122,MB_CAVE
123,MB_CAVE
124,MB_CAVE
125,MB_CAVE
128,MB_CAVE
129,MB_CAVE
130,MB_CAVE
131,MB_CAVE
132,MB_CAVE
133,MB_CAVE
134,MB_CAVE
136,MB_EAST_ARROW_WARP
139,MB_WEST_ARROW_WARP
167,MB_CAVE
168,MB_JUMP_EAST
169,MB_UP_LEFT_STAIR_WARP
171,MB_UP_LEFT_STAIR_WARP
176,MB_JUMP_EAST
186,MB_UP_RIGHT_STAIR_WARP
188,MB_EAST_ARROW_WARP
189,MB_WEST_ARROW_WARP
190,MB_CAVE
192,MB_CAVE
193,MB_CAVE
194,MB_CAVE
200,MB_ROCK_STAIRS
201,MB_ROCK_STAIRS
202,MB_ROCK_STAIRS
203,MB_ROCK_STAIRS
208,MB_SIDEWAYS_STAIRS_RIGHT_SIDE_TOP
209,MB_SIDEWAYS_STAIRS_LEFT_SIDE_TOP
213,MB_NON_ANIMATED_DOOR
214,MB_NON_ANIMATED_DOOR
216,MB_SIDEWAYS_STAIRS_RIGHT_SIDE
217,MB_SIDEWAYS_STAIRS_LEFT_SIDE
224,MB_SIDEWAYS_STAIRS_RIGHT_SIDE_BOTTOM
225,MB_SIDEWAYS_STAIRS_LEFT_SIDE_BOTTOM
